"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2519","Проверка текста ответа в разделе Вопросы о важном","tests","2026-04-27","passed","2026-04-27","TestFAQ","test_faq","",""
"","2876","Проверка текста ответа в разделе Вопросы о важном","tests","2026-04-27","passed","2026-04-27","TestFAQ","test_faq","",""
"","2703","Проверка текста ответа в разделе Вопросы о важном","tests","2026-04-27","passed","2026-04-27","TestFAQ","test_faq","",""
"","1681","Переход на главную страницу Самоката по логотипу Самокат","tests","2026-04-27","passed","2026-04-27","TestRedirects","test_redirects","",""
"","3441","Проверка текста ответа в разделе Вопросы о важном","tests","2026-04-27","passed","2026-04-27","TestFAQ","test_faq","",""
"","2886","Переход на главную страницу Дзена по логотипу Яндекса","tests","2026-04-27","passed","2026-04-27","TestRedirects","test_redirects","",""
"","3736","Позитивный сценарий создания заказа","tests","2026-04-27","passed","2026-04-27","TestOrder","test_order","",""
"","2508","Проверка текста ответа в разделе Вопросы о важном","tests","2026-04-27","passed","2026-04-27","TestFAQ","test_faq","",""
"","3538","Позитивный сценарий создания заказа","tests","2026-04-27","passed","2026-04-27","TestOrder","test_order","",""
"","2580","Проверка текста ответа в разделе Вопросы о важном","tests","2026-04-27","passed","2026-04-27","TestFAQ","test_faq","",""
"","2473","Проверка текста ответа в разделе Вопросы о важном","tests","2026-04-27","passed","2026-04-27","TestFAQ","test_faq","",""
"","2261","Проверка текста ответа в разделе Вопросы о важном","tests","2026-04-27","passed","2026-04-27","TestFAQ","test_faq","",""
